"Bryophyta sp.";"Dicranopteris linearis";"Erica reunionensis";"Eriocaulon striatum";"Lycopodiella caroliniana";"Lycopodiella cernua";"Machaerina iridifolia";"Phyllanthus phillyreifolius";"Poaceae sp.";"Stoebe passerinoides";"Tristemma mauritianum";"Tylostigma sp."
"OTU64";1;0;0;0;0;0;0;0;0;0;0;0
"OTU303";1;1;0;0;3;2;3;1;0;2;1;5
"OTU356";1;0;1;0;0;0;0;0;0;0;0;0
"OTU564";3;0;0;0;3;2;2;0;0;0;0;1
"OTU714";0;0;0;0;0;0;0;0;1;0;0;0
"OTU847";0;0;1;0;0;0;0;0;0;0;0;0
"OTU899";0;0;0;1;0;2;1;0;0;0;1;1
"OTU846";0;0;0;0;0;0;0;0;0;2;0;1
"OTU984";0;0;1;0;0;0;1;0;0;0;0;0
"OTU1196";2;0;0;0;2;4;0;0;0;0;0;1
"OTU1343";0;0;1;1;3;3;2;0;0;0;0;1
"OTU1440";0;0;2;0;0;0;0;0;0;0;0;0
"OTU1697";0;0;0;0;0;4;0;0;0;0;0;0
"OTU1934";0;0;0;0;0;0;2;0;0;1;0;0
"OTU2213";0;0;0;0;0;1;0;0;0;0;0;0
"OTU2302";0;0;0;0;0;0;1;0;0;0;0;2
"OTU145";0;0;0;0;0;1;0;0;0;0;0;0
"OTU2796";0;0;0;2;1;0;0;0;0;1;0;2
"OTU2850";0;0;0;0;0;1;0;0;0;0;0;0
"OTU3165";1;0;0;0;0;1;0;0;0;0;0;2
"OTU4093";0;0;0;1;0;0;0;0;0;0;0;1
"OTU4222";0;0;1;1;0;0;0;0;0;0;0;0
"OTU6439";1;0;0;0;0;0;0;0;0;0;0;0
"OTU6485";0;0;0;0;0;0;0;0;0;0;0;1
"OTU6538";0;0;0;0;0;1;0;0;0;0;0;0
"OTU6699";1;0;0;0;0;1;0;0;0;0;0;0
"OTU8730";0;0;0;0;0;1;0;0;0;0;0;0
"OTU10100";0;0;0;1;0;0;0;0;0;0;0;0
"OTU10470";0;0;0;0;1;0;0;0;0;0;0;0
"OTU12931";0;0;1;0;0;0;0;0;0;0;0;0
"OTU14316";0;0;1;0;0;0;0;0;0;0;0;0
