"Arundina graminifolia";"Clidemia hirta";"Cynodon dactylon";"Desmodium incanum";"Dicranopteris linearis";"Fabaceae sp.";"Hyparrhenia sp.";"Lycopodiella cernua";"Nephrolepis abrupta";"Nephrolepis biserrata";"Psidium cattleianum";"Stachytarpheta jamaicensis";"Stenotaphrum dimidiatum";"Tristemma mauritianum"
"OTU54";0;2;1;2;3;1;3;3;2;1;2;0;1;1
"OTU133";0;1;0;0;0;0;0;2;2;0;3;1;0;2
"OTU190";0;1;2;1;2;1;1;3;0;2;1;0;1;2
"OTU191";0;0;0;0;1;0;0;1;0;0;0;0;0;0
"OTU300";0;1;0;1;0;1;0;1;0;1;0;0;0;0
"OTU313";1;0;0;0;1;1;2;2;1;0;0;0;0;0
"OTU481";0;1;1;1;1;2;1;0;0;0;0;0;0;0
"OTU676";0;1;0;0;0;0;0;0;0;0;0;0;0;0
"OTU707";0;0;0;0;0;1;0;0;1;1;0;0;0;0
"OTU818";1;1;1;1;1;2;0;1;0;1;0;0;1;0
"OTU924";2;0;0;0;0;0;0;1;0;0;0;0;0;0
"OTU969";0;0;0;1;0;0;0;1;0;0;0;0;0;0
"OTU1136";0;1;0;1;0;0;0;0;0;1;1;0;1;0
"OTU1209";0;0;2;0;0;0;0;0;0;0;0;0;0;0
"OTU1244";0;0;0;1;0;0;0;0;0;1;1;0;1;0
"OTU1281";0;0;2;0;0;2;0;0;0;0;0;0;0;0
"OTU1493";0;1;0;0;0;0;0;0;0;1;0;0;0;0
"OTU2022";0;0;1;0;0;1;0;0;0;0;0;0;0;0
"OTU2405";0;0;0;1;0;0;0;0;1;1;0;0;0;0
"OTU3043";0;1;0;0;0;0;0;0;0;0;0;0;0;0
"OTU3510";0;0;0;0;0;0;0;1;0;0;0;0;0;0
"OTU3756";0;0;0;0;0;1;0;0;0;0;0;0;0;0
"OTU3841";0;0;0;1;0;0;0;0;0;0;0;0;0;0
"OTU4055";0;0;0;0;0;0;0;1;0;0;0;0;0;0
"OTU6540";0;1;0;0;0;0;0;0;0;0;0;0;0;0
