"Bryophyta sp.";"Convolvulaceae sp.";"Dicranopteris linearis";"Erica reunionensis";"Eriocaulon striatum";"Lycopodiella caroliniana";"Lycopodiella cernua";"Machaerina iridifolia";"Poaceae sp.";"Tristemma mauritianum";"Tylostigma sp."
"OTU54";0;0;0;0;1;0;0;0;0;0;0
"OTU191";2;1;0;1;3;4;4;4;2;0;2
"OTU200";1;1;1;1;0;0;2;0;1;0;0
"OTU253";0;0;0;0;0;0;1;0;0;0;1
"OTU300";0;0;0;1;0;0;0;0;0;0;0
"OTU313";0;0;0;0;0;0;1;1;0;0;0
"OTU321";2;1;0;0;3;1;1;1;4;0;2
"OTU333";1;0;0;1;0;0;1;0;0;0;1
"OTU632";2;0;0;0;0;2;1;0;0;0;0
"OTU1209";0;0;0;0;0;1;1;0;0;0;0
"OTU1847";1;0;0;0;0;0;0;0;0;1;0
"OTU2228";2;0;0;0;0;2;1;0;0;0;0
"OTU2405";0;0;0;1;0;0;0;0;0;0;0
