"Bryophyta sp.";"Convolvulaceae sp.";"Dicranopteris linearis";"Erica reunionensis";"Eriocaulon striatum";"Hubertia ambavilla";"Lycopodiella caroliniana";"Lycopodiella cernua";"Machaerina iridifolia";"Phyllanthus phillyreifolius";"Poaceae sp.";"Stoebe passerinoides";"Tristemma mauritianum";"Tylostigma sp."
"OTU19";0;1;3;3;1;1;0;4;2;0;1;1;0;1
"OTU32";4;3;3;5;3;0;3;4;6;1;9;2;3;4
"OTU43";4;3;2;5;2;1;5;3;4;1;7;0;2;3
"OTU96";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"OTU194";0;0;1;0;1;0;3;1;1;1;4;1;1;3
"OTU265";0;0;1;1;0;0;1;1;1;1;4;2;1;2
"OTU222";0;0;0;0;0;0;0;1;1;1;0;2;1;0
"OTU294";0;0;0;1;0;0;0;0;0;0;0;0;0;0
"OTU403";0;0;0;1;0;0;0;0;0;0;0;0;0;0
"OTU199";0;0;2;0;2;0;0;0;1;0;0;0;0;1
"OTU613";2;0;0;0;2;0;0;2;2;0;0;0;0;3
"OTU720";0;0;3;0;0;0;0;0;0;0;0;0;0;0
"OTU741";0;0;0;1;0;0;0;0;0;0;0;0;0;0
"OTU775";2;0;0;0;0;0;0;2;2;0;2;1;0;1
"OTU1443";0;1;2;1;0;0;0;0;0;0;1;1;1;0
"OTU1843";0;0;0;1;0;0;0;0;0;0;0;0;0;0
"OTU1953";0;1;0;0;0;0;0;0;0;0;0;0;1;0
"OTU2252";0;0;0;0;0;0;0;0;1;0;0;0;0;0
"OTU7761";0;0;0;0;0;0;0;1;0;0;0;0;0;0
